std_A, std_K, mean_A, mean_k, p50, p90, p99, percentile for 0.05 coe, percentile for 0.08 coe, percentile for 0.10 coe, percentile for 0.15 coe, standard deviation
0.05, 0.025, 5, 1.5, 0.23237416509, 0.242424639466, 0.248084104284, 0.01, 0.01, 0.01, 0.01, 0.00669394366651
0.05, 0.025, 5, 1.75, 0.27476453963, 0.2879038581, 0.293648970785, 0.01, 0.01, 0.01, 0.01, 0.00845425167522
0.05, 0.025, 5, 2.0, 0.31700426848, 0.332211603564, 0.338307208619, 0.01, 0.01, 0.01, 0.01, 0.0100856496395
0.05, 0.025, 5, 2.25, 0.35574444715, 0.373015352556, 0.37940980232, 0.01, 0.01, 0.01, 0.01, 0.011470094807
0.05, 0.025, 5, 2.5, 0.38987993428, 0.407322197644, 0.414398698989, 0.01, 0.01, 0.01, 0.01, 0.0126047794632
0.05, 0.025, 5, 2.75, 0.41701339168, 0.4355145078, 0.442879505676, 0.01, 0.01, 0.01, 0.01, 0.0135414763171
0.05, 0.025, 5, 3.0, 0.43909241122, 0.45791648061, 0.465859019968, 0.01, 0.01, 0.01, 0.01, 0.0143232463743
0.05, 0.025, 6, 1.5, 0.15431377228, 0.158789518172, 0.160808195046, 0.01, 0.01, 0.01, 4.24, 0.00287193563252
0.05, 0.025, 6, 1.75, 0.1703508317, 0.175708454726, 0.178108481308, 0.01, 0.01, 0.01, 0.01, 0.00356028964297
0.05, 0.025, 6, 2.0, 0.18665586558, 0.193089624348, 0.195459063361, 0.01, 0.01, 0.01, 0.01, 0.00421904989463
0.05, 0.025, 6, 2.25, 0.20236347093, 0.209579935594, 0.212240740599, 0.01, 0.01, 0.01, 0.01, 0.00481997416952
0.05, 0.025, 6, 2.5, 0.2169823794, 0.224352136412, 0.227301322246, 0.01, 0.01, 0.01, 0.01, 0.00532697299031
0.05, 0.025, 6, 2.75, 0.22924722994, 0.237071742518, 0.240155777112, 0.01, 0.01, 0.01, 0.01, 0.00572927708696
0.05, 0.025, 6, 3.0, 0.23961681312, 0.247482123436, 0.250697521917, 0.01, 0.01, 0.01, 0.01, 0.00603831381922
0.05, 0.025, 7, 1.5, 0.11610377654, 0.118220341034, 0.11899493582, 0.01, 0.01, 0.01, None, 0.00138736555984
0.05, 0.025, 7, 1.75, 0.12169220287, 0.124301692862, 0.125243977296, 0.01, 0.01, 0.01, None, 0.00171819709907
0.05, 0.025, 7, 2.0, 0.12773782302, 0.130721247378, 0.131824840422, 0.01, 0.01, 0.01, None, 0.00201204730883
0.05, 0.025, 7, 2.25, 0.13381910286, 0.136984223452, 0.138243050955, 0.01, 0.01, 0.01, None, 0.00228918722917
0.05, 0.025, 7, 2.5, 0.13942874434, 0.142892625656, 0.144282929918, 0.01, 0.01, 0.01, None, 0.00254278404206
0.05, 0.025, 7, 2.75, 0.14456650544, 0.148304163828, 0.149775912089, 0.01, 0.01, 0.01, 99.68, 0.00276339390343
0.05, 0.025, 7, 3.0, 0.14927380453, 0.15305363661, 0.154614446599, 0.01, 0.01, 0.01, 62.47, 0.00294587200208
0.05, 0.025, 8, 1.5, 0.09509060145, 0.0960308795034, 0.0964943315638, 0.01, 0.01, None, None, 0.000764206938628
0.05, 0.025, 8, 1.75, 0.09583578644, 0.0970239188148, 0.0975138744619, 0.01, 0.01, None, None, 0.000929376816196
0.05, 0.025, 8, 2.0, 0.097321229451, 0.0987083817282, 0.0992740588161, 0.01, 0.01, None, None, 0.00107454315988
0.05, 0.025, 8, 2.25, 0.098946541145, 0.100504062378, 0.10113651258, 0.01, 0.01, 83.61, None, 0.00120480090559
0.05, 0.025, 8, 2.5, 0.10051842482, 0.102264682464, 0.102981567695, 0.01, 0.01, 36.61, None, 0.00132617347474
0.05, 0.025, 8, 2.75, 0.10206806313, 0.103948689272, 0.104745933456, 0.01, 0.01, 7.71, None, 0.00143815952557
0.05, 0.025, 8, 3.0, 0.10352912876, 0.105528233482, 0.106400170658, 0.01, 0.01, 0.4, None, 0.00153912270124
0.05, 0.025, 9, 1.5, 0.082213365132, 0.0829349642212, 0.0834523205298, 0.01, 0.01, None, None, 0.000553605220531
0.05, 0.025, 9, 1.75, 0.080468071549, 0.0810656091258, 0.081514519618, 0.01, 22.51, None, None, 0.000576900695544
0.05, 0.025, 9, 2.0, 0.079717892987, 0.080414562457, 0.0808927971264, 0.01, 73.03, None, None, 0.000641642983126
0.05, 0.025, 9, 2.25, 0.079368548813, 0.0801780681876, 0.0806683778544, 0.01, 83.46, None, None, 0.000702703437336
0.05, 0.025, 9, 2.5, 0.079164164907, 0.0800557317768, 0.0805719441796, 0.01, 87.82, None, None, 0.000757917001928
0.05, 0.025, 9, 2.75, 0.079030095765, 0.0799921132396, 0.0805355570477, 0.01, 90.38, None, None, 0.000809094138476
0.05, 0.025, 9, 3.0, 0.0789714308485, 0.0799674547865, 0.0805383336504, 0.01, 91.62, None, None, 0.000848809887603
0.05, 0.05, 5, 1.5, 0.23251123581, 0.243956434638, 0.255129106351, 0.01, 0.01, 0.01, 0.01, 0.00954836290103
0.05, 0.05, 5, 1.75, 0.27463475449, 0.288002080752, 0.300839969919, 0.01, 0.01, 0.01, 0.01, 0.0110750800971
0.05, 0.05, 5, 2.0, 0.31630728491, 0.333425355108, 0.344982366393, 0.01, 0.01, 0.01, 0.01, 0.0121695713484
